id,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,mass_sent_g,row_no,pct_mass_remain,pct_mass_remain_corr,prop_n,prop_c,total_n_g
263,CR,23.028,13.819,84,2,G,NA,NA,NA,7,60.00955358693765,60.00955358693765,NA,NA,NA
247,CR,22.32,12.077,84,2,H,NA,NA,NA,8,54.1084229390681,54.1084229390681,NA,NA,NA
266,CR,22.661,12.194,84,2,I,NA,NA,NA,9,53.81051145139226,53.81051145139226,NA,NA,NA
295,CR,22.618,12.043,84,2,J,NA,NA,NA,10,53.24520293571492,53.24520293571492,NA,NA,NA
224,CR,22.435,NA,NA,1,B,1.01,14.1,0.1066,2,NA,NA,0.0101,0.141,NA
248,CR,22.668,NA,NA,1,D,1.64,31.6,0.1001,4,NA,NA,0.016399999999999998,0.316,NA
252,CR,23.457,NA,NA,1,D,1.66,32.5,0.1098,4,NA,NA,0.0166,0.325,NA
254,CR,23.325,NA,NA,2,F,1.57,26.5,0.1006,6,NA,NA,0.015700000000000002,0.265,NA
213,CR,22.839,NA,NA,2,G,1.66,30.2,0.109,7,NA,NA,0.0166,0.302,NA
282,CR,23.044,NA,NA,2,H,1.85,31.4,0.1023,8,NA,NA,0.018500000000000003,0.314,NA
251,CR,23.315,NA,NA,2,I,1.47,28.4,0.1006,9,NA,NA,0.0147,0.284,NA
214,CR,22.993,NA,NA,2,J,1.75,29,0.1028,10,NA,NA,0.0175,0.29,NA
216,CR,22.674,NA,NA,NA,,NA,NA,NA,99999,NA,NA,NA,NA,NA
217,CR,22.836,NA,NA,NA,,NA,NA,NA,99999,NA,NA,NA,NA,NA
279,CR,23.119,NA,NA,NA,,NA,NA,NA,99999,NA,NA,NA,NA,NA
183,GM_PC,24.783,24.581,0,1,A,1.84,43.7,0.102,1,99.18492515030464,98.95797445030463,0.0184,0.43700000000000006,0.4522904
121,GM_PC,23.302,23.361,0,1,B,1.74,44.2,0.1094,2,100.2531971504592,100.0262464504592,0.0174,0.442,0.4064814
176,GM_PC,24.481,23.871,0,1,C,1.36,45.6,0.1111,3,97.50827172092642,97.28132102092641,0.013600000000000001,0.456,0.3246456
159,GM_PC,24.805,24.442,0,1,D,1.48,45.3,0.1133,4,98.53658536585365,98.30963466585365,0.0148,0.45299999999999996,0.3617416
123,GM_PC,23.508,23.372,0,1,E,1.38,45,0.1031,5,99.42147354092225,99.19452284092225,0.0138,0.45,0.3225336
118,GM_PC,24.775,24.62,0,2,F,1.5,45.3,0.1094,6,99.37436932391525,99.14741862391524,0.015,0.45299999999999996,0.3693
130,GM_PC,24.425,24.097,0,2,G,1.76,44.9,0.1099,7,98.65711361310133,98.43016291310133,0.0176,0.449,0.4241072000000001
109,GM_PC,26.027,26.091,0,2,H,1.74,44,0.1034,8,100.24589849002959,100.01894779002959,0.0174,0.44,0.4539834
106,GM_PC,25.459,25.439,0,2,I,1.41,45.2,0.1133,9,99.92144231902274,99.69449161902274,0.0141,0.452,0.3586899
200,GM_PC,22.932,25.034,0,2,J,1.76,44.1,0.1042,10,109.16623059480202,108.93927989480201,0.0176,0.441,0.4405984
200,GM_PC,22.932,25.034,0,2,J,1.76,44.1,0.1074,10,109.16623059480202,108.93927989480201,0.0176,0.441,0.4405984
200,GM_PC,22.932,25.034,0,2,J,1.58,27.2,0.1042,10,109.16623059480202,108.93927989480201,0.0158,0.272,0.39553720000000003
200,GM_PC,22.932,25.034,0,2,J,1.58,27.2,0.1074,10,109.16623059480202,108.93927989480201,0.0158,0.272,0.39553720000000003
145,GM_PC,24.383,23.652,7,1,A,NA,NA,NA,1,97.00200959685027,97.00200959685027,NA,NA,NA
151,GM_PC,24.478,22.054,7,1,B,NA,NA,NA,2,90.09723016586321,90.09723016586321,NA,NA,NA
125,GM_PC,24.23,22.828,7,1,C,NA,NA,NA,3,94.21378456458936,94.21378456458936,NA,NA,NA
135,GM_PC,24.807,23.052,7,1,D,NA,NA,NA,4,92.92538396420366,92.92538396420366,NA,NA,NA
168,GM_PC,24.92,22.058,7,1,E,NA,NA,NA,5,88.51524879614766,88.51524879614766,NA,NA,NA
147,GM_PC,24.909,23.363,7,2,F,NA,NA,NA,6,93.79340800513872,93.79340800513872,NA,NA,NA
196,GM_PC,24.822,23.37,7,2,G,NA,NA,NA,7,94.15035049552817,94.15035049552817,NA,NA,NA
126,GM_PC,22.72,20.617,7,2,H,NA,NA,NA,8,90.74383802816902,90.74383802816902,NA,NA,NA
198,GM_PC,24.383,23.019,7,2,I,NA,NA,NA,9,94.40593856375344,94.40593856375344,NA,NA,NA
131,GM_PC,24.42,23.117,7,2,J,NA,NA,NA,10,94.66420966420966,94.66420966420966,NA,NA,NA
140,GM_PC,24.657,21.806,14,1,A,1.2,44.8,0.1115,1,88.43736058725717,88.43736058725717,0.012,0.44799999999999995,0.261672
156,GM_PC,24.764,22.841,14,1,B,1.24,42.6,0.1129,2,92.23469552576321,92.23469552576321,0.0124,0.426,0.2832284
154,GM_PC,24.979,21.34,14,1,C,1.42,41.2,0.1028,3,85.43176268065174,85.43176268065174,0.014199999999999999,0.41200000000000003,0.30302799999999996
112,GM_PC,25.908,23.621,14,1,D,1.4,42.9,0.1062,4,91.17261077659408,91.17261077659408,0.013999999999999999,0.429,0.33069399999999993
174,GM_PC,24.784,22.073,14,1,E,1.2,44.6,0.1056,5,89.06149128469981,89.06149128469981,0.012,0.446,0.264876
