sample,spp,initial_wt_g,coll_wt_g,days,soil_block,row,percent_n,percent_c,prop_c,initial_prop_c,collected_prop_c,prop_c_remain,pct_c_remaing,prop_n,initial_prop_n,collected_prop_n,prop_n_remain,pct_n_remain
359,CR,22.751,13.387,35,2,6,1.73,33.1,0.331,9.778379800000002,4.431097,0.4531524741961853,45.31524741961853,0.0173,0.32738689000000004,0.2315951,0.7074049299897133,70.74049299897133
93,PC,25.115,16.613,35,2,7,2.49,45,0.45,11.4248135,7.47585,0.6543520382192672,65.43520382192672,0.024900000000000002,0.4701528,0.4136637,0.8798494872305345,87.98494872305345
129,GM_PC,24.729,19.818,35,2,7,1.46,41.7,0.417,10.6671904644,8.264106000000002,0.7747218939776224,77.47218939776224,0.0146,0.39454006695000005,0.2893428,0.7333673414636196,73.33673414636196
265,CR,22.356,13.579,35,2,7,1.68,38.9,0.389,9.6086088,5.282231,0.5497394170111286,54.973941701112864,0.0168,0.32170284000000005,0.2281272,0.709123985352445,70.9123985352445
368,AR,22.724,12.361,35,2,7,1.93,37,0.37,9.3872844,4.57357,0.48720905909700574,48.720905909700576,0.019299999999999998,0.38880764,0.23856729999999998,0.6135869655236198,61.35869655236198
19,PC,25.155,18.18,35,2,8,1.64,45.3,0.453,11.4430095,8.235539999999999,0.719700529830024,71.9700529830024,0.016399999999999998,0.47090160000000003,0.298152,0.633151384493066,63.315138449306595
142,GM_PC,24.815,16.707,35,2,8,1.5,43.2,0.4320000000000001,10.704287734,7.217424000000001,0.6742554179551168,67.42554179551168,0.015,0.39591215825000003,0.250605,0.6329813186534036,63.29813186534036
270,CR,23.54,16.308,35,2,8,1.48,37.2,0.37200000000000005,10.117492,6.066576,0.5996126312726514,59.96126312726514,0.0148,0.3387406,0.2413584,0.7125168934577077,71.25168934577077
309,AR,23.406,12.381,35,2,8,2,34.4,0.344,9.6690186,4.2590639999999995,0.4404856559072086,44.04856559072086,0.02,0.40047666,0.24762,0.6183131870906036,61.831318709060355
82,PC,24.944,18.132,35,2,9,1.92,43.8,0.43799999999999994,11.3470256,7.941815999999999,0.6999028890883968,69.99028890883969,0.0192,0.46695168,0.3481344,0.7455469482409829,74.55469482409829
194,GM_PC,24.927,20.162,35,2,9,1.36,44.3,0.4429999999999999,10.7526004572,8.931765999999998,0.8306610141009414,83.06610141009413,0.013600000000000001,0.39769906785000003,0.2742032,0.6894740827087407,68.94740827087406
280,CR,23.836,14.503,35,2,9,1.32,39.2,0.392,10.2447128,5.685176,0.5549375674055012,55.49375674055012,0.0132,0.34300004,0.1914396,0.5581328795180315,55.81328795180315
324,AR,23.05,13.547,35,2,9,1.91,37.5,0.375,9.521955,5.080125000000001,0.5335170141005708,53.35170141005708,0.0191,0.3943855,0.25874769999999997,0.6560781266045531,65.60781266045531
64,PC,24.097,16.529,35,2,10,2.33,45,0.45,10.9617253,7.43805,0.6785473815878236,67.85473815878235,0.0233,0.45109584,0.3851257,0.8537558227094268,85.37558227094269
136,GM_PC,24.819,20.054,35,2,10,1.64,44.2,0.442,10.7060131884,8.863868,0.8279335961965776,82.79335961965776,0.016399999999999998,0.39597597645000004,0.32888559999999994,0.830569578863147,83.05695788631469
227,CR,22.49,13.585,35,2,10,1.5,40.4,0.404,9.666202,5.48834,0.5677866032594808,56.77866032594808,0.015,0.3236311,0.203775,0.6296520946225502,62.965209462255025
302,AR,23.855,10.467,35,2,10,2.08,36.2,0.362,9.8545005,3.7890540000000006,0.3844998536455501,38.44998536455501,0.0208,0.40815905,0.2177136,0.5334038287280412,53.34038287280411
4,PC,23.471,17.322,63,1,1,1.72,38.7,0.387,10.6769579,6.703614,0.6278580530883239,62.78580530883239,0.0172,0.43937712,0.2979384,0.6780926598999966,67.80926598999966
127,GM_PC,24.703,20.393,63,1,1,1.57,37.9,0.379,10.6559750108,7.728947000000001,0.725315796270786,72.5315796270786,0.015700000000000002,0.39412524865000004,0.32017010000000007,0.8123562271046602,81.23562271046602
221,CR,22.417,13.994,63,1,1,1.75,32,0.32,9.6348266,4.47808,0.4647805493458492,46.47805493458492,0.0175,0.32258063000000003,0.24489500000000003,0.7591745356812032,75.91745356812032
311,AR,23.446,12.011,63,1,1,1.87,36,0.36,9.685542600000002,4.32396,0.4464344620197116,44.64344620197116,0.0187,0.40116106,0.2246057,0.5598890879388941,55.988908793889415
90,PC,25.247,18.057,63,1,2,2.04,41.6,0.416,11.4848603,7.511712,0.6540534062917596,65.40534062917595,0.0204,0.47262384,0.3683628,0.7793995326177368,77.93995326177368
146,GM_PC,24.473,18.848,63,1,2,1.69,40.9,0.409,10.5567613828,7.708831999999999,0.730226981596828,73.0226981596828,0.0169,0.39045570215000003,0.31853119999999996,0.815793438912645,81.5793438912645
228,CR,22.776,14.61,63,1,2,1.63,36.1,0.361,9.7891248,5.274209999999999,0.538782588613029,53.878258861302896,0.0163,0.32774664,0.23814299999999997,0.726606991302794,72.66069913027941
303,AR,23.976,12.633,63,1,2,1.49,25.1,0.251,9.9044856,3.170883,0.320146156807982,32.0146156807982,0.0149,0.41022936,0.18823169999999997,0.45884502269657146,45.88450226965715
